Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.898590087890625,0.6377276211566306,0.7787957080509409,0.863756546616524,0.7787957080509409,0.7090519282270008,0.9623669824631617
2,0.8628273010253906,0.5488474651761658,0.7087172591443534,0.8756593104138518,0.7087172591443534,0.5952369613432572,0.9670727957975309
3,0.8477907180786133,0.5626967622085043,0.7201611673057603,0.8936347971385307,0.7201611673057603,0.6030887418618788,0.9654769655772412
4,0.9220752716064453,0.6952552158313628,0.8202366337984168,0.9222898927880548,0.8202366337984168,0.7385180988752827,0.9802714791178122
5,0.847071647644043,0.5277965093508995,0.6909251410387622,0.9285973328912329,0.6909251410387622,0.5501226171000979,0.9809315614342144
6,0.8578824996948242,0.5441123834055819,0.7047574894847061,0.872799721269402,0.7047574894847061,0.5909755449229134,0.96532845738989
7,0.8421268463134766,0.5013705066959041,0.6678837827969328,0.8603548888969292,0.6678837827969328,0.5457854198841224,0.9636672453836006
8,0.8692665100097656,0.571881411988095,0.7276393850408688,0.8635435480752454,0.7276393850408688,0.6286955178274081,0.9617911267629812
9,0.8838109970092773,0.5738674520118642,0.7292449580532252,0.8918356253737022,0.7292449580532252,0.6167966767541964,0.974572275231257
10,0.8613481521606445,0.531873446415002,0.6944091206225027,0.8967746839016498,0.6944091206225027,0.5665596553687431,0.9748830278804467
11,0.9158000946044922,0.677268423919202,0.8075850165194878,0.970591162681055,0.8075850165194878,0.691457957806663,0.9928082713846319
12,0.8764047622680664,0.6072817078529114,0.7556630612864363,0.8767663863781533,0.7556630612864363,0.663954385976537,0.962278654255369
13,0.9025096893310547,0.6102052955890428,0.757922355938866,0.9194642826362994,0.757922355938866,0.6446609920278441,0.9824861277186985
14,0.8772516250610352,0.5697399606213668,0.7259036208721354,0.9186686430400216,0.7259036208721354,0.6000042244893649,0.9802633816339184
15,0.8636741638183594,0.5119546328256498,0.6772089872417297,0.9309505627883009,0.6772089872417297,0.5321619578602937,0.9854955470729617
16,0.8161611557006836,0.42502841019247345,0.5965192092346656,0.8439274863637172,0.5965192092346656,0.4612869601248244,0.9643715643091033
17,0.8309116363525391,0.4880429195950589,0.6559527459434705,0.8725639503368524,0.6559527459434705,0.5254992429353588,0.9660425427718144
18,0.9125947952270508,0.6727205853470409,0.804343045981551,0.9338250602266306,0.804343045981551,0.7063958393484545,0.982925921520629
19,0.8574790954589844,0.5243333396991514,0.6879510223172525,0.885919105981812,0.6879510223172525,0.5622992507637431,0.9719260307221573
20,0.8331890106201172,0.5058884679813671,0.6718803931867637,0.8509244168642526,0.6718803931867637,0.5550844174159932,0.9567823261285511
21,0.899378776550293,0.6503209812713974,0.7881145409305698,0.8721249105527727,0.7881145409305698,0.7188672332942556,0.9629056130868884
22,0.8564367294311523,0.49912326524636746,0.6658868911147757,0.8279474343619434,0.6658868911147757,0.5568837378514631,0.959993685847829
23,0.9036636352539062,0.6598547372036406,0.7950752826904585,0.9243014546346433,0.7950752826904585,0.6975509913501584,0.9790932278680538
24,0.7908926010131836,0.43672048604421154,0.6079407794158405,0.903131209027062,0.6079407794158405,0.45818273944764726,0.973088134367459
25,0.868159294128418,0.5650292927576724,0.7220686480085725,0.809831748222105,0.7220686480085725,0.6514677714252547,0.9454406665631631
26,0.8982524871826172,0.6740418927506477,0.8052867681144079,0.9231741302692253,0.8052867681144079,0.7140979828581786,0.9751765762062886
27,0.8245973587036133,0.48132700512968024,0.6498592187449432,0.8554102140029068,0.6498592187449432,0.5239552667204906,0.9600870475897972
28,0.8392953872680664,0.5059212281673953,0.6719092854319709,0.9223967883164855,0.6719092854319709,0.5284127100788868,0.9798942429144415
29,0.8954687118530273,0.619396014403428,0.764971642383112,0.9354442859540192,0.764971642383112,0.6470543425820797,0.9840729513170544
30,0.8619899749755859,0.5511421969262263,0.7106275595085744,0.8887749589852347,0.7106275595085744,0.5919718291090322,0.9702875971395282
31,0.8938884735107422,0.6688787839108645,0.8015906132420335,0.9297713649845495,0.8015906132420335,0.7044704451639393,0.9767286933278503
32,0.8977031707763672,0.63318708600779,0.775400554452792,0.9145378931563142,0.775400554452792,0.6730092612785508,0.9776288638467545
33,0.8795433044433594,0.6305919513336453,0.7734515686991957,0.9308385715272501,0.7734515686991957,0.6615894446149125,0.9778323896185842
34,0.8383846282958984,0.5000737502286257,0.6667322192024354,0.875929456871651,0.6667322192024354,0.5381955799105315,0.9672698523047144
35,0.8523120880126953,0.5515834522937401,0.7109942445935757,0.912684761516901,0.7109942445935757,0.5823115651623672,0.9747396551652443
36,0.8672199249267578,0.5693846496437055,0.725615163590356,0.9253713337857197,0.725615163590356,0.5967887811567001,0.9799390618771915
37,0.881596565246582,0.6039434984273219,0.7530732834660233,0.8822545318980382,0.7530732834660233,0.656890264424328,0.9667699065580346
38,0.9013071060180664,0.6387346093829092,0.779546127512904,0.8999070435419854,0.779546127512904,0.6875831435593335,0.9739913351310593
39,0.8787975311279297,0.570387898250655,0.7264293094541071,0.8825929354904515,0.7264293094541071,0.6172200498209446,0.9710447795850603
40,0.850372314453125,0.537425555752108,0.6991240047251585,0.8662041436989165,0.6991240047251585,0.5860769586912907,0.9618250645378225
41,0.8942165374755859,0.5716420734744948,0.7274456227946886,0.8812323262390237,0.7274456227946886,0.6193592388188973,0.9753575623873643
42,0.8735666275024414,0.5765662179210783,0.7314202364190715,0.9128790177397496,0.7314202364190715,0.6101390151655981,0.9771120047720965
43,0.8730182647705078,0.5970975287236329,0.7477283233927746,0.9006869479882238,0.7477283233927746,0.6391799662476232,0.970591614325471
44,0.8636493682861328,0.49595456420344575,0.6630609994061254,0.8882035028348465,0.6630609994061254,0.5289758071187384,0.9773750047915363
45,0.8580513000488281,0.5386584757293891,0.7001663906917904,0.9175281136159653,0.7001663906917904,0.5660658215314059,0.9789350615725683
46,0.8715057373046875,0.6148859543817528,0.7615224501932798,0.9179093969611244,0.7615224501932798,0.6506664730915459,0.9732030559018323
47,0.9043513706752232,0.6359117970419234,0.7774401996388647,0.8923905449464369,0.7774401996388647,0.6887244329415148,0.9734039185440145

Metric,Mean,Standard Deviation
Pixel Accuracy,0.8701358580661762,0.027709195128953812
Jaccard Index,0.5716101588185325,0.06487140243802608
Dice Coefficient,0.7252379155676006,0.052921786575822916
Precision,0.8950277962933141,0.03139241734223262
F1 Score,0.7252379155676006,0.052921786575822916
Sensitivity,0.6124112179644606,0.0682458485791118
Specificity,0.9720325500362484,0.008820500017656994
