Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.9763574600219727,0.9181893482141973,0.9573500646002612,0.9685153663808858,0.9573500646002612,0.9464392620006531,0.9880133900173869
2,0.9812192916870117,0.9323857101165646,0.9650099410643246,0.9745350931966784,0.9650099410643246,0.9556691852096889,0.9907171085938695
3,0.9687919616699219,0.9034621920135939,0.9492830441332366,0.9766249338291101,0.9492830441332366,0.9234304047086351,0.9897758498040254
4,0.9837160110473633,0.9290401406314285,0.9632149389357215,0.9777425943501441,0.9632149389357215,0.9491126772522713,0.9937407445672762
5,0.9780540466308594,0.9248364411955879,0.960950677576675,0.9865749128919861,0.960950677576675,0.9366238182503821,0.9948369892934192
6,0.9732427597045898,0.9136582828901411,0.9548813297118753,0.9849191552603818,0.9548813297118753,0.9266214533390345,0.9937569437864012
7,0.9856939315795898,0.9450983406164679,0.9717743528760958,0.9829509120253357,0.9717743528760958,0.9608491004818515,0.9942563742192119
8,0.9795513153076172,0.9230589814160276,0.9599902970592625,0.9772552863318973,0.9599902970592625,0.9433247522864456,0.9922836204474391
9,0.9865036010742188,0.937383301623822,0.9676797573698009,0.9796584619226198,0.9676797573698009,0.955990451737504,0.9946805487535748
10,0.985783576965332,0.9414065263704041,0.9698190601330982,0.9895266110840267,0.9698190601330982,0.9508811770731185,0.9968181127831535
11,0.9709787368774414,0.8988139374815042,0.9467109122588893,0.9511497387357273,0.9467109122588893,0.9423133235724743,0.9817740470201493
12,0.9837303161621094,0.9255142182267494,0.9613164207938977,0.9779431439670047,0.9613164207938977,0.9452456121575342,0.9942000679347827
13,0.9732265472412109,0.9121108241371214,0.9540355220244411,0.9764624263508215,0.9540355220244411,0.9326156682735706,0.9904601357831165
14,0.9793462753295898,0.9156428933120399,0.9559640750463092,0.9846938134354304,0.9559640750463092,0.9288632663705765,0.99540666247643
15,0.9727573394775391,0.9044580235393276,0.9498324587469179,0.9826024395827202,0.9498324587469179,0.9191777050383921,0.993653024026512
16,0.9841680526733398,0.9463674192005996,0.972444780841313,0.9905118399118136,0.972444780841313,0.9550250060314417,0.9962175641976141
17,0.9823312759399414,0.9271906279597106,0.9622199428619204,0.9892161137758696,0.9622199428619204,0.9366581046262809,0.9967716386193358
18,0.9815683364868164,0.931914578812389,0.9647575405588247,0.9819815806764146,0.9647575405588247,0.9481273072649726,0.9936925487872386
19,0.9844188690185547,0.9385466034755134,0.968299242115557,0.9827608616024482,0.968299242115557,0.9542570645127981,0.9944390307117457
20,0.981410026550293,0.9346462421505419,0.9662192723271149,0.9907878650024168,0.9662192723271149,0.9428396527291605,0.9965573071554086
21,0.9871540069580078,0.9445135564874239,0.97146512898948,0.9856552708389754,0.97146512898948,0.9576777696564687,0.9958759242712423
22,0.9796638488769531,0.927355726647135,0.9623088398532229,0.9805522035913045,0.9623088398532229,0.9447319194422176,0.9929001163807557
23,0.9727287292480469,0.8926145261047043,0.94326077898371,0.9608267175449092,0.94326077898371,0.9263255937210154,0.9877634871851854
24,0.9826812744140625,0.9409350220192677,0.9695688019894229,0.9892153242241462,0.9695688019894229,0.9506874704243126,0.9957623019541243
25,0.9875469207763672,0.9375490214833662,0.9677680524083865,0.9837804743408308,0.9677680524083865,0.952268532012047,0.9961647814922228
26,0.9781761169433594,0.915708981612447,0.9560000922913638,0.9889569575940806,0.9560000922913638,0.9251689541218852,0.9964404049936912
27,0.9833221435546875,0.9283440208149802,0.9628406661822014,0.9810940835653631,0.9628406661822014,0.9452540583839892,0.9946024599233267
28,0.976353645324707,0.92421764923423,0.9606165389887528,0.9869899274752104,0.9606165389887528,0.9356159170299597,0.9945049112528003
29,0.9859018325805664,0.9469698600259716,0.972762731944232,0.9874466501333513,0.972762731944232,0.9585091318398025,0.9956594056127662
30,0.9798965454101562,0.9318189904164929,0.9647063156943044,0.9842740006832935,0.9647063156943044,0.9459014886365875,0.993813188674224
31,0.9799623489379883,0.9249952700363047,0.961036408176587,0.9742853167993322,0.961036408176587,0.9481429982802152,0.9911787392007595
32,0.9666366577148438,0.8941418542725732,0.9441128733369969,0.9572394848005805,0.9441128733369969,0.9313414019162884,0.9819498534109308
33,0.9836711883544922,0.9440162961558205,0.9712020398414951,0.9847336055089992,0.9712020398414951,0.9580373171225399,0.994009740194563
34,0.9816074371337891,0.9294429261832376,0.9634313755233299,0.9779130146925799,0.9634313755233299,0.9493723865007978,0.9926527737763693
35,0.9787673950195312,0.9185474341197862,0.9575446692473446,0.9821196664111029,0.9575446692473446,0.9341695006064755,0.9941383157435786
36,0.9836835861206055,0.9420312934113071,0.9701504776028264,0.9894377600079715,0.9701504776028264,0.9516007584521552,0.9960761605601255
37,0.9865264892578125,0.9521058769289181,0.9754654070575159,0.9919928794198988,0.9754654070575159,0.9594796339126187,0.9970007633698877
38,0.9828271865844727,0.9365465866524775,0.9672337274068844,0.9862110934647411,0.9672337274068844,0.9489729243359625,0.995164663003296
39,0.9847230911254883,0.9470764696942666,0.9728189769998897,0.9883908561183326,0.9728189769998897,0.957730150510332,0.995506238813978
40,0.9858617782592773,0.9458146623878829,0.9721528783498725,0.9869185325873464,0.9721528783498725,0.9578225400491546,0.9955935704669017
41,0.9805240631103516,0.92975927193432,0.9636013003864087,0.9704612114924125,0.9636013003864087,0.9568376900341575,0.98925934096632
42,0.9830913543701172,0.941370598661411,0.9697999952306817,0.9844965261567086,0.9697999952306817,0.9555357892086934,0.9940278504924392
43,0.9820404052734375,0.9336553332558278,0.9656895075336601,0.9735542836990941,0.9656895075336601,0.9579507829330711,0.9906739523580042
44,0.9810314178466797,0.9342068267446437,0.9659844167926503,0.9834285117348005,0.9659844167926503,0.9491483841479809,0.9936633183493471
45,0.9781579971313477,0.9259123875083297,0.9615311615563562,0.9866700218546836,0.9615311615563562,0.9376414745124759,0.9947975875443457
46,0.9792594909667969,0.9161429133281408,0.956236517595544,0.9656963558474707,0.956236517595544,0.9469602161765761,0.9894191833715696
47,0.9850387573242188,0.9396344734782188,0.9688778853195305,0.9881928000591979,0.9688778853195305,0.9503035424403478,0.9963142036702043

Metric,Mean,Standard Deviation
Pixel Accuracy,0.9806316051077335,0.004895240375173975
Jaccard Index,0.9287053715528344,0.014376156262227843
Dice Coefficient,0.9629770467301743,0.0077729320055122285
Precision,0.98099886555235,0.008827767529296874
F1 Score,0.9629770467301743,0.0077729320055122285
Sensitivity,0.9456862408367002,0.010945918006560886
Specificity,0.9933396797023625,0.0033759586484763877
