Batch,Pixel Accuracy,Jaccard Index,Dice Coefficient,Precision,F1 Score,Sensitivity,Specificity
1,0.9642753601074219,0.8821033814235718,0.9373591165394675,0.9091251151505715,0.9373591165394675,0.967403009802568,0.9630812697007074
2,0.9742507934570312,0.897604708666434,0.9460397147699293,0.9138660653610923,0.9460397147699293,0.9805614476998542,0.9723637264618434
3,0.9755668640136719,0.9008943491984898,0.9478636722533801,0.9116431277988288,0.9478636722533801,0.9870814613884886,0.9722237262439763
4,0.9732437133789062,0.9067411248504188,0.95108991255596,0.9290122195430953,0.95108991255596,0.9742424891784168,0.9728798563584793
5,0.9527549743652344,0.8145513895543843,0.8977991962569007,0.8970219642503793,0.8977991962569007,0.8985777763094864,0.9690235857245604
6,0.9803199768066406,0.934107339004266,0.9659312284965231,0.9518200866769916,0.9659312284965231,0.9804670742170742,0.9802614741511687
7,0.9823074340820312,0.8827899924184989,0.9377466376741564,0.8959909713494242,0.9377466376741564,0.983584400957342,0.9821073207753641
8,0.9855918884277344,0.946308247803713,0.9724135412482197,0.9533145254836816,0.9724135412482197,0.9922934740482366,0.9832870223215658
9,0.9852790832519531,0.9388334125851957,0.9684518602692914,0.9619326025172554,0.9684518602692914,0.9750600862608237,0.9883613541345991
10,0.9797248840332031,0.9517555006898555,0.9752814841341079,0.9746514221974345,0.9752814841341079,0.9759123612028927,0.9823726753844463
11,0.9668006896972656,0.8877003277503935,0.9405097988283787,0.9518242317749768,0.9405097988283787,0.9294611975789019,0.9814913250552815
12,0.9572830200195312,0.8488411333540314,0.9182412896819602,0.9532638025649577,0.9182412896819602,0.8857010056621313,0.9838709677419355
13,0.9261512756347656,0.7275989193448528,0.84232388802463,0.9083866207575012,0.84232388802463,0.78521859292667,0.973432302041357
14,0.9480133056640625,0.8197950413223141,0.9009751347894959,0.8535651838695909,0.9009751347894959,0.9539614396282448,0.9460525982095306
15,0.9862174987792969,0.9552519785486927,0.9771139362382735,0.9647150058162078,0.9771139362382735,0.989835728952772,0.9846871200277922
16,0.9704856872558594,0.905858733345501,0.9506042787918255,0.9234318601853115,0.9506042787918255,0.9794243014260906,0.966835364150173
17,0.9854812622070312,0.9226972682035137,0.9597946421025945,0.9384411989506084,0.9597946421025945,0.9821424710842072,0.9861966102951053
18,0.9820899963378906,0.944593924803512,0.9715076374096528,0.9587251015103786,0.9715076374096528,0.9846356345027801,0.9809457456926105
